name,raw
spend_time,您平均一週花在【製作】學習歷程檔案的時間是？
n_learning,您每個學期平均要上傳多少份學習歷程檔案（學習成果）？
n_performance,您每個學期平均要上傳多少份學習歷程檔案（多元表現）？
app,您在製作學習歷程檔案時，最主要使用的軟體是？
app_other,其他...5
freq_teacher,您與以下這些角色【討論如何製作學習歷程檔案】的頻率為？ - 學校老師
freq_student,您與以下這些角色【討論如何製作學習歷程檔案】的頻率為？ - 同學
freq_parent,您與以下這些角色【討論如何製作學習歷程檔案】的頻率為？ - 家長
freq_cram,您與以下這些角色【討論如何製作學習歷程檔案】的頻率為？ - 補習班老師
help_teacher,【學校老師】曾經協助您製作學習歷程檔案的哪些部分？
help_student,【同學】曾經協助您製作學習歷程檔案的哪些部分？
help_parent,【家長】曾經協助您製作學習歷程檔案的哪些部分？
help_cram,【補習班老師】曾經協助您製作學習歷程檔案的哪些部分？
heard_agency,您是否聽說過，有業者提供【代操／代製學習歷程檔案】相關服務？
use_agency,您身邊有幾個同學/朋友使用過【代操/代製學習歷程檔案】相關服務？
agg_overral,整體而言，您是否同意108課綱推動的學習歷程檔案有幫助到學生？
agg_feature,以下為【學習歷程檔案對整體高中生的優點】您是否同意這些敘述？ - 展現個人特色及學習軌跡
agg_quality,以下為【學習歷程檔案對整體高中生的優點】您是否同意這些敘述？ - 提升未來的備審資料品質
agg_outoftest,以下為【學習歷程檔案對整體高中生的優點】您是否同意這些敘述？ - 可以呈現考試外的學習成果
agg_future,以下為【學習歷程檔案對整體高中生的優點】您是否同意這些敘述？ - 幫助學生探索生涯及未來定向
agg_description,除了以上學習歷程檔案的優點之外，您認為還有...
edge_course,您是否同意以下有關製作學歷檔案的敘述是您的個人優勢？ - 課程學習成果豐富
edge_act,您是否同意以下有關製作學歷檔案的敘述是您的個人優勢？ - 課外競賽或活動經歷豐富
edge_future,您是否同意以下有關製作學歷檔案的敘述是您的個人優勢？ - 生涯及未來定向清楚
edge_art,您是否同意以下有關製作學歷檔案的敘述是您的個人優勢？ - 美編排版能力佳
edge_outoftest,您是否同意以下有關製作學歷檔案的敘述是您的個人優勢？ - 呈現考試以外的優點或特色
annoy_overral,整體而言，您認為108課綱推動的學習歷程檔案帶給學生的困擾程度為？
annoy_time,您認為學習歷程檔案帶給學生的各項困擾程度如何？ - 需要花很多時間跟精力
annoy_orientation,您認為學習歷程檔案帶給學生的各項困擾程度如何？ - 製作方向不清楚
annoy_lackoftime,您認為學習歷程檔案帶給學生的各項困擾程度如何？ - 準備時間不夠
annoy_docsize,您認為學習歷程檔案帶給學生的各項困擾程度如何？ - 上傳檔案大小有限制
annoy_description,您認為，108課綱中的學習歷程檔案，影響現在高中生最大的層面是？
attitude_before,在108課綱剛上路時，您對「學生必須要製作學習歷程檔案」的態度如何？
attitude_now,現在，您對「學生必須要製作學習歷程檔案」的態度如何？
attitude_description,承上，若您的態度有發生變化，您態度轉變的原因是什麼？
focus_self,您自己最看重學習歷程檔案中的哪部分？
focus_professor,您認為，大學教授最看重學習歷程檔案中的哪部分？
course_n,您一個學期平均修習多少門多元選修課程？
course_type,您修習多元選修的課程向度屬於？
act,您是否在108課綱上路後，額外多做了哪些課外活動？
act_type,承上，參與上述課外活動的名稱／類別？
act_source,承上，您會參與這些活動的資訊主要來源是？
act_source_other,其他...43
willingness,承上，您是自願參與這些活動的嗎？
willingness_other,其他...45
school,您現在就讀的學校是？
school_type,您現在就讀的學校類別是？
grade,您現在就讀的年級是？
grade_other,其他...49
gender,您的性別是？
cram_school,您現在是否有在校外補習？
cram_spend,您每個學期平均花費在補習上的金額是？
cram_subject,若您有補習，您補習的科目包含？
email,您的電子信箱是？
55,填答時間
56,填答秒數
57,IP紀錄
58,額滿結束註記
59,使用者紀錄
60,會員時間
61,會員編號
62,自訂ID
63,備註
